customer_id,survey_year,customer_segment,in_out_state,responded
C000001,FY25,Silent Customers,In-State,0
C000002,FY25,Silent Customers,In-State,0
C000003,FY25,Silent Customers,In-State,1
C000004,FY25,Silent Customers,In-State,0
C000005,FY25,Silent Customers,In-State,1
C000006,FY25,Silent Customers,In-State,0
C000007,FY25,Silent Customers,In-State,0
C000008,FY25,Silent Customers,In-State,1
C000009,FY25,Silent Customers,In-State,0
C000010,FY25,Silent Customers,In-State,0
C000011,FY25,Silent Customers,In-State,1
C000012,FY25,Silent Customers,In-State,0
C000013,FY25,Silent Customers,In-State,1
C000014,FY25,Silent Customers,In-State,0
C000015,FY25,Silent Customers,In-State,0
C000016,FY25,Silent Customers,In-State,0
C000017,FY25,Silent Customers,In-State,0
C000018,FY25,Silent Customers,In-State,1
C000019,FY25,Silent Customers,In-State,0
C000020,FY25,Silent Customers,In-State,0
C000021,FY25,Silent Customers,In-State,0
C000022,FY25,Silent Customers,In-State,0
C000023,FY25,Silent Customers,In-State,0
C000024,FY25,Silent Customers,In-State,0
C000025,FY25,Silent Customers,In-State,0
C000026,FY25,Silent Customers,In-State,1
C000027,FY25,Silent Customers,In-State,1
C000028,FY25,Silent Customers,In-State,0
C000029,FY25,Silent Customers,In-State,0
C000030,FY25,Silent Customers,In-State,0
C000031,FY25,Silent Customers,In-State,1
C000032,FY25,Silent Customers,In-State,0
C000033,FY25,Silent Customers,In-State,1
C000034,FY25,Silent Customers,In-State,0
C000035,FY25,Silent Customers,In-State,0
C000036,FY25,Silent Customers,In-State,0
C000037,FY25,Silent Customers,In-State,0
C000038,FY25,Silent Customers,In-State,0
C000039,FY25,Silent Customers,In-State,0
C000040,FY25,Silent Customers,In-State,1
C000041,FY25,Silent Customers,In-State,0
C000042,FY25,Silent Customers,In-State,1
C000043,FY25,Silent Customers,In-State,0
C000044,FY25,Silent Customers,In-State,1
C000045,FY25,Silent Customers,In-State,0
C000046,FY25,Silent Customers,In-State,0
C000047,FY25,Silent Customers,In-State,1
C000048,FY25,Silent Customers,In-State,0
C000049,FY25,Silent Customers,In-State,0
C000050,FY25,Silent Customers,In-State,0
C000051,FY25,Silent Customers,In-State,0
C000052,FY25,Silent Customers,In-State,0
C000053,FY25,Silent Customers,In-State,1
C000054,FY25,Silent Customers,In-State,0
C000055,FY25,Silent Customers,In-State,0
C000056,FY25,Silent Customers,In-State,0
C000057,FY25,Silent Customers,In-State,1
C000058,FY25,Silent Customers,In-State,0
C000059,FY25,Silent Customers,In-State,0
C000060,FY25,Silent Customers,In-State,0
C000061,FY25,Silent Customers,In-State,0
C000062,FY25,Silent Customers,In-State,1
C000063,FY25,Silent Customers,In-State,1
C000064,FY25,Silent Customers,In-State,0
C000065,FY25,Silent Customers,In-State,0
C000066,FY25,Silent Customers,In-State,1
C000067,FY25,Silent Customers,In-State,1
C000068,FY25,Silent Customers,In-State,0
C000069,FY25,Silent Customers,In-State,1
C000070,FY25,Silent Customers,In-State,1
C000071,FY25,Silent Customers,In-State,0
C000072,FY25,Silent Customers,In-State,0
C000073,FY25,Silent Customers,In-State,1
C000074,FY25,Silent Customers,In-State,0
C000075,FY25,Silent Customers,In-State,0
C000076,FY25,Silent Customers,In-State,0
C000077,FY25,Silent Customers,In-State,0
C000078,FY25,Silent Customers,In-State,0
C000079,FY25,Silent Customers,In-State,0
C000080,FY25,Silent Customers,In-State,0
C000081,FY25,Silent Customers,In-State,0
C000082,FY25,Silent Customers,In-State,0
C000083,FY25,Silent Customers,In-State,0
C000084,FY25,Silent Customers,In-State,0
C000085,FY25,Silent Customers,In-State,0
C000086,FY25,Silent Customers,In-State,0
C000087,FY25,Silent Customers,In-State,0
C000088,FY25,Silent Customers,In-State,0
C000089,FY25,Silent Customers,In-State,0
C000090,FY25,Silent Customers,In-State,0
C000091,FY25,Silent Customers,In-State,0
C000092,FY25,Silent Customers,In-State,0
C000093,FY25,Silent Customers,In-State,0
C000094,FY25,Silent Customers,In-State,0
C000095,FY25,Silent Customers,In-State,0
