customer_id,survey_year,customer_segment,in_out_state,responded
SYN000001,FY25,Silent Customers,In-State,0
SYN000002,FY25,Silent Customers,In-State,1
SYN000003,FY25,Silent Customers,In-State,0
SYN000004,FY25,Silent Customers,In-State,0
SYN000005,FY25,Silent Customers,In-State,0
SYN000006,FY25,Silent Customers,In-State,0
SYN000007,FY25,Silent Customers,In-State,0
SYN000008,FY25,Silent Customers,In-State,1
SYN000009,FY25,Silent Customers,In-State,0
SYN000010,FY25,Silent Customers,In-State,0
SYN000011,FY25,Silent Customers,In-State,0
SYN000012,FY25,Silent Customers,In-State,1
SYN000013,FY25,Silent Customers,In-State,1
SYN000014,FY25,Silent Customers,In-State,0
SYN000015,FY25,Silent Customers,In-State,0
SYN000016,FY25,Silent Customers,In-State,0
SYN000017,FY25,Silent Customers,In-State,0
SYN000018,FY25,Silent Customers,In-State,0
SYN000019,FY25,Silent Customers,In-State,0
SYN000020,FY25,Silent Customers,In-State,0
SYN000021,FY25,Silent Customers,In-State,0
SYN000022,FY25,Silent Customers,In-State,0
SYN000023,FY25,Silent Customers,In-State,0
SYN000024,FY25,Silent Customers,In-State,0
SYN000025,FY25,Silent Customers,In-State,0
SYN000026,FY25,Silent Customers,In-State,1
SYN000027,FY25,Silent Customers,In-State,0
SYN000028,FY25,Silent Customers,In-State,0
SYN000029,FY25,Silent Customers,In-State,0
SYN000030,FY25,Silent Customers,In-State,0
SYN000031,FY25,Silent Customers,In-State,0
SYN000032,FY25,Silent Customers,In-State,0
SYN000033,FY25,Silent Customers,In-State,0
SYN000034,FY25,Silent Customers,In-State,1
SYN000035,FY25,Silent Customers,In-State,1
SYN000036,FY25,Silent Customers,In-State,1
SYN000037,FY25,Silent Customers,In-State,0
SYN000038,FY25,Silent Customers,In-State,0
SYN000039,FY25,Silent Customers,In-State,0
SYN000040,FY25,Silent Customers,In-State,0
SYN000041,FY25,Silent Customers,In-State,0
SYN000042,FY25,Silent Customers,In-State,0
SYN000043,FY25,Silent Customers,In-State,0
SYN000044,FY25,Silent Customers,In-State,1
SYN000045,FY25,Silent Customers,In-State,0
SYN000046,FY25,Silent Customers,In-State,0
SYN000047,FY25,Silent Customers,In-State,0
SYN000048,FY25,Silent Customers,In-State,0
SYN000049,FY25,Silent Customers,In-State,0
SYN000050,FY25,Silent Customers,In-State,0
SYN000051,FY25,Silent Customers,In-State,1
SYN000052,FY25,Silent Customers,In-State,1
SYN000053,FY25,Silent Customers,In-State,1
SYN000054,FY25,Silent Customers,In-State,1
SYN000055,FY25,Silent Customers,In-State,0
SYN000056,FY25,Silent Customers,In-State,1
SYN000057,FY25,Silent Customers,In-State,0
SYN000058,FY25,Silent Customers,In-State,0
SYN000059,FY25,Silent Customers,In-State,0
SYN000060,FY25,Silent Customers,In-State,0
SYN000061,FY25,Silent Customers,In-State,0
SYN000062,FY25,Silent Customers,In-State,0
SYN000063,FY25,Silent Customers,In-State,1
SYN000064,FY25,Silent Customers,In-State,0
SYN000065,FY25,Silent Customers,In-State,0
SYN000066,FY25,Silent Customers,In-State,0
SYN000067,FY25,Silent Customers,In-State,0
SYN000068,FY25,Silent Customers,In-State,1
SYN000069,FY25,Silent Customers,In-State,0
SYN000070,FY25,Silent Customers,In-State,1
SYN000071,FY25,Silent Customers,In-State,1
SYN000072,FY25,Silent Customers,In-State,0
SYN000073,FY25,Silent Customers,In-State,0
SYN000074,FY25,Silent Customers,In-State,1
SYN000075,FY25,Silent Customers,In-State,0
SYN000076,FY25,Silent Customers,In-State,0
SYN000077,FY25,Silent Customers,In-State,1
SYN000078,FY25,Silent Customers,In-State,0
SYN000079,FY25,Silent Customers,In-State,0
SYN000080,FY25,Silent Customers,In-State,0
SYN000081,FY25,Silent Customers,In-State,1
SYN000082,FY25,Silent Customers,In-State,0
SYN000083,FY25,Silent Customers,In-State,0
SYN000084,FY25,Silent Customers,In-State,0
SYN000085,FY25,Silent Customers,In-State,0
SYN000086,FY25,Silent Customers,In-State,0
SYN000087,FY25,Silent Customers,In-State,0
SYN000088,FY25,Silent Customers,In-State,0
SYN000089,FY25,Silent Customers,In-State,1
SYN000090,FY25,Silent Customers,In-State,0
SYN000091,FY25,Silent Customers,In-State,0
SYN000092,FY25,Silent Customers,In-State,0
SYN000093,FY25,Silent Customers,In-State,1
SYN000094,FY25,Silent Customers,In-State,0
SYN000095,FY25,Silent Customers,In-State,1
SYN000096,FY25,Silent Customers,In-State,0
SYN000097,FY25,Silent Customers,In-State,0
SYN000098,FY25,Silent Customers,In-State,0
SYN000099,FY25,Silent Customers,In-State,0
SYN000100,FY25,Silent Customers,In-State,0
SYN000101,FY25,Silent Customers,In-State,0
SYN000102,FY25,Silent Customers,In-State,0
SYN000103,FY25,Silent Customers,In-State,0
SYN000104,FY25,Silent Customers,In-State,0
SYN000105,FY25,Silent Customers,In-State,1
SYN000106,FY25,Silent Customers,In-State,0
SYN000107,FY25,Silent Customers,In-State,0
SYN000108,FY25,Silent Customers,In-State,1
SYN000109,FY25,Silent Customers,In-State,0
SYN000110,FY25,Silent Customers,In-State,0
SYN000111,FY25,Silent Customers,In-State,0
SYN000112,FY25,Silent Customers,In-State,0
SYN000113,FY25,Silent Customers,In-State,1
SYN000114,FY25,Silent Customers,In-State,1
SYN000115,FY25,Silent Customers,In-State,0
SYN000116,FY25,Silent Customers,In-State,1
SYN000117,FY25,Silent Customers,In-State,1
SYN000118,FY25,Silent Customers,In-State,0
SYN000119,FY25,Silent Customers,In-State,1
SYN000120,FY25,Silent Customers,In-State,0
SYN000121,FY25,Silent Customers,Out-of-State,1
SYN000122,FY25,Silent Customers,Out-of-State,1
SYN000123,FY25,Silent Customers,Out-of-State,0
SYN000124,FY25,Silent Customers,Out-of-State,0
SYN000125,FY25,Silent Customers,Out-of-State,0
SYN000126,FY25,Silent Customers,Out-of-State,0
SYN000127,FY25,Silent Customers,Out-of-State,1
SYN000128,FY25,Silent Customers,Out-of-State,1
SYN000129,FY25,Silent Customers,Out-of-State,0
SYN000130,FY25,Silent Customers,Out-of-State,0
SYN000131,FY25,Silent Customers,Out-of-State,0
SYN000132,FY25,Silent Customers,Out-of-State,0
SYN000133,FY25,Silent Customers,Out-of-State,0
SYN000134,FY25,Silent Customers,Out-of-State,0
SYN000135,FY25,Silent Customers,Out-of-State,1
SYN000136,FY25,Silent Customers,Out-of-State,0
SYN000137,FY25,Silent Customers,Out-of-State,0
SYN000138,FY25,Silent Customers,Out-of-State,1
SYN000139,FY25,Silent Customers,Out-of-State,0
SYN000140,FY25,Silent Customers,Out-of-State,1
SYN000141,FY25,Silent Customers,Out-of-State,1
SYN000142,FY25,Silent Customers,Out-of-State,0
SYN000143,FY25,Silent Customers,Out-of-State,0
SYN000144,FY25,Silent Customers,Out-of-State,0
SYN000145,FY25,Silent Customers,Out-of-State,0
SYN000146,FY25,Silent Customers,Out-of-State,0
SYN000147,FY25,Silent Customers,Out-of-State,1
SYN000148,FY25,Silent Customers,Out-of-State,0
SYN000149,FY25,Silent Customers,Out-of-State,0
SYN000150,FY25,Silent Customers,Out-of-State,0
SYN000151,FY25,Prior Responders,In-State,0
SYN000152,FY25,Prior Responders,In-State,1
SYN000153,FY25,Prior Responders,In-State,1
SYN000154,FY25,Prior Responders,In-State,1
SYN000155,FY25,Prior Responders,In-State,0
SYN000156,FY25,Prior Responders,In-State,1
SYN000157,FY25,Prior Responders,In-State,0
SYN000158,FY25,Prior Responders,In-State,0
SYN000159,FY25,Prior Responders,In-State,1
SYN000160,FY25,Prior Responders,In-State,0
SYN000161,FY25,Prior Responders,In-State,1
SYN000162,FY25,Prior Responders,In-State,1
SYN000163,FY25,Prior Responders,In-State,1
SYN000164,FY25,Prior Responders,In-State,1
SYN000165,FY25,Prior Responders,In-State,1
SYN000166,FY25,Prior Responders,In-State,0
SYN000167,FY25,Prior Responders,In-State,1
SYN000168,FY25,Prior Responders,In-State,1
SYN000169,FY25,Prior Responders,In-State,1
SYN000170,FY25,Prior Responders,In-State,1
SYN000171,FY25,Prior Responders,In-State,0
SYN000172,FY25,Prior Responders,In-State,1
SYN000173,FY25,Prior Responders,In-State,1
SYN000174,FY25,Prior Responders,In-State,1
SYN000175,FY25,Prior Responders,In-State,1
SYN000176,FY25,Prior Responders,In-State,1
